DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES,
01-Jan-19,EQ,361.5,364.8,356.4,360.15,364.2,363.75,360.35,375.3,256.5,7759872,"2,79,63,07,882.85",65606﻿,SERIES
02-Jan-19,EQ,361.5,367.9,360.3,363.75,364.3,364.6,364.87,375.3,256.5,18243156,"6,65,63,64,660.40",133500,
03-Jan-19,EQ,365,367.3,362.05,364.6,362.1,363.25,365.31,375.3,256.5,12884409,"4,70,68,46,631.45",114828,
04-Jan-19,EQ,361.85,368.8,358.05,363.25,366.35,365.2,362.95,375.3,256.5,22896026,"8,31,01,66,817.60",173791,
07-Jan-19,EQ,367.5,371,366.55,365.2,367.65,367.7,369.12,375.3,256.5,12719847,"4,69,51,25,833.60",123595,
08-Jan-19,EQ,367.8,381.8,366.6,367.7,379.3,380.15,375.83,381.8,256.5,21501136,"8,08,07,18,598.20",180003,
09-Jan-19,EQ,381.65,383.55,375.6,380.15,382.25,382.25,380.96,383.55,256.5,21730142,"8,27,84,15,394.55",163048,
10-Jan-19,EQ,380.95,382.15,376.05,382.25,379.9,379.5,378.96,383.55,256.5,14497154,"5,49,38,01,551.85",103333,
11-Jan-19,EQ,380.6,381.2,375.25,379.5,377.55,378.55,377.6,383.55,256.5,12537973,"4,73,42,86,599.05",96658,
14-Jan-19,EQ,378.7,378.7,372.7,378.55,373.4,373.35,374.37,383.55,256.5,14844029,"5,55,72,19,982.95",102864,
15-Jan-19,EQ,373.55,375.4,370.6,373.35,373,372.75,372.71,383.55,256.5,12960779,"4,83,06,04,870.15",79640,
16-Jan-19,EQ,372.05,379.75,372.05,372.75,375.25,375.3,377.05,383.55,256.5,15106484,"5,69,59,48,570.10",112010,
17-Jan-19,EQ,376,377.95,372.8,375.3,374.4,374.6,375.22,383.55,256.5,13171721,"4,94,22,85,393.85",117861,
18-Jan-19,EQ,374.6,376.4,370.35,374.6,372,372,373.1,383.55,256.5,12212121,"4,55,63,94,213.00",72758,
21-Jan-19,EQ,373,376.15,370.6,372,371.45,371.7,373.1,383.55,256.5,8908581,"3,32,38,35,409.65",142287,
22-Jan-19,EQ,370.55,372.5,366.1,371.7,368.95,369.05,368.59,383.55,256.5,14756076,"5,43,88,99,263.80",121591,
23-Jan-19,EQ,368.8,373.7,366.45,369.05,367.4,367.4,370.64,383.55,256.5,9726450,"3,60,50,38,778.70",74089,
24-Jan-19,EQ,366.6,368.5,361.75,367.4,365.55,364.8,365.05,383.55,256.5,17521254,"6,39,61,15,646.20",122863,
25-Jan-19,EQ,362.35,364.65,354.55,364.8,358.25,357.2,359.39,383.55,256.5,22978238,"8,25,80,62,121.30",154470,
28-Jan-19,EQ,353.2,354.9,336.65,357.2,344.75,343.55,343.42,383.55,256.5,34362360,"11,80,05,95,451.40",250242,
29-Jan-19,EQ,342.95,350.1,341.35,343.55,350,346.85,344.5,383.55,256.5,20738442,"7,14,43,08,111.00",136394,
