DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
01-Jan-19,EQ,660.95,666.3,654.15,658.95,665.95,665.05,660.66,"1,467.90",599.85,2943390,"1,94,45,79,422.55",45422﻿
02-Jan-19,EQ,666,674,662.05,665.05,668,669.05,669.97,"1,467.90",599.85,7416655,"4,96,89,62,632.60",108094
03-Jan-19,EQ,672,677,663.1,669.05,668,669.15,669.66,"1,467.90",599.85,6827249,"4,57,19,29,258.25",125781
04-Jan-19,EQ,671.75,673.9,651,669.15,660.25,661.05,660.17,"1,467.90",599.85,7889310,"5,20,83,04,588.70",187590
07-Jan-19,EQ,665,673.6,661.5,661.05,671.7,671.7,667.51,"1,467.90",599.85,8046340,"5,37,09,73,786.60",132736
08-Jan-19,EQ,674.95,677.45,668.55,671.7,670,670.05,672.86,"1,467.90",599.85,8621545,"5,80,11,22,719.75",134369
09-Jan-19,EQ,686.2,689.8,664,670.05,675.6,676.1,678.41,"1,467.90",599.85,18130292,"12,29,97,38,074.80",314702
10-Jan-19,EQ,681.6,682,672.55,676.1,680.8,679.7,677.63,"1,467.90",599.85,9572493,"6,48,66,10,275.85",141449
11-Jan-19,EQ,680.2,685.5,672.5,679.7,684.35,683.5,679.18,"1,467.90",599.85,12281903,"8,34,16,03,861.10",159694
14-Jan-19,EQ,707,710.2,695.95,683.5,701.3,701.9,701.27,"1,467.90",599.85,19312937,"13,54,36,20,376.15",289248
15-Jan-19,EQ,707.2,730,707.2,701.9,728.3,726.6,721.52,"1,467.90",599.85,19671304,"14,19,32,22,353.15",285205
16-Jan-19,EQ,729.9,737.8,728.5,726.6,735.95,736.8,734.12,"1,467.90",599.85,9658944,"7,09,08,38,080.10",175301
17-Jan-19,EQ,735.8,739,729.1,736.8,733.2,733.35,733.06,"1,467.90",599.85,6903771,"5,06,08,65,130.15",155361
18-Jan-19,EQ,730,736.2,726.3,733.35,734,730.95,730.43,"1,467.90",599.85,5902151,"4,31,11,01,798.25",117506
21-Jan-19,EQ,738.2,751,734,730.95,743.25,745,744.87,"1,467.90",599.85,8129422,"6,05,53,27,086.30",207759
22-Jan-19,EQ,741.25,749,734,745,747,745.35,739.94,"1,467.90",599.85,6723375,"4,97,49,04,338.90",184880
23-Jan-19,EQ,742.35,742.6,729.2,745.35,731.65,731.65,735.7,"1,467.90",599.85,7212099,"5,30,59,10,421.70",114457
24-Jan-19,EQ,728.1,736.1,721,731.65,734,732,727.66,"1,467.90",599.85,7429783,"5,40,63,65,017.90",138534
25-Jan-19,EQ,728,737.9,724.25,732,730.3,730.35,731.7,"1,467.90",599.85,5543112,"4,05,59,12,046.45",86157
28-Jan-19,EQ,731,732.6,719,730.35,731,727.95,725.12,"1,467.90",599.85,7944693,"5,76,08,82,919.00",128705
29-Jan-19,EQ,725.5,732.85,716.5,727.95,730.05,727.9,721.76,"1,467.90",599.85,6760819,"4,87,97,14,902.60",137242
30-Jan-19,EQ,727.9,734.8,721.1,727.9,724.3,725.9,726.45,"1,467.90",599.85,5763026,"4,18,65,56,191.95",125751
31-Jan-19,EQ,726,751.3,726,725.9,750,749.55,744.47,"1,467.90",599.85,13825233,"10,29,24,23,934.85",265809
01-Feb-19,EQ,751.35,762.5,744.5,749.55,756.7,757.05,753.37,"1,467.90",599.85,6276585,"4,72,86,08,322.00",119145
04-Feb-19,EQ,757,762.5,749.2,757.05,755.9,755.9,754.39,"1,467.90",599.85,3945391,"2,97,63,61,896.65",110537
05-Feb-19,EQ,747,759.95,747,755.9,755,754.85,753.48,"1,467.90",599.85,4694366,"3,53,70,94,842.65",98651
06-Feb-19,EQ,755.55,766.95,754.35,754.85,763.75,763.3,762.75,"1,467.90",599.85,5880482,"4,48,53,60,735.15",150791
07-Feb-19,EQ,763.05,769.45,761,763.3,763,764,766.2,"1,467.90",599.85,3961797,"3,03,55,22,378.45",102039
